faculty_id,first,middle,last,suffix
921a0da39765c5df9f0fd85a2cf9e236,Sheila,,Jasanoff,
651915e8b3ca866de8efa016bd46bd19,Shenghai,,Li,
dbe48e9d70a571fdece50053a0d056e0,Shigehisa,,Kuriyama,
c1d9a130caa837612ad066eab6d9fe73,Shing-Tung,,Yau,
b1570d230c6da458391298401fa95ac9,Shira,,Milikowsky,
f9f3c786e93a97b2cea42fabc13a6021,Shiv,Subramaniam,Pillai,
0ca8d4791f20268e405ca275b8b5872c,Shlomo,Z.,Sternberg,
028bf8dffff6a9a51303525b903f648b,Shmuel,,Rubinstein,
97ae9a053a0c9da4ae2bf6c4832a2c11,Shriram,,Ramanathan,
40e186a8f3cc1753067bf2cd54af9172,Simon,,Dove,
42cb5553aa25302bbe073241a0efad44,Simon,Barak,Caine,
1b6e6534d1880c3fccaaf2786f66c903,Sindhumathi,,Revuluri,
f369191bcf9b551997d9f04f2eaee95c,Sirinya,,Matchacheep,
1f91cf8d866883666175270ea50cdc1a,"Siu Cheong",,Lau,
9d999bb4ac1d9aef86ba61d054143aa2,Soha,,Bayoumi,
67fbd5ba89d40de37158a9a160311edb,Sohini,,Kar,
80175f7d6b60f96f383ccf55e1e096d5,"Song Pae",,Cho,
81deb0f6610328b56992c0a930a2a4c3,Sonja,,Duempelmann,
e385b0017b1ee09104bf83728dc3ce8d,Sophia,,Roosth,
6dd24e50d6b36b9050e91fa1c713b981,Soumya,,Raychaudhuri,
83b290fa4512888b4dbb0ad90e853a42,Spiro,,Artavanis-Tsakonas,
31d28c73c085a4c2c896deb251b0d520,Sreemati,,Mitter,
1cc5ac53e178ccdac9c2c4c5b19a480a,Sri,,Mukherjee,
63a58fb328b41f96935bb9760bfd6027,Stacey,,"Katz Bourns",
48ef78e52215b4eb444897ac7a8ca1cc,Stacey,A.,Combes,
418b328d6c9a0929d7b7bf791670ef77,Stan,Neil,Finkelstein,
47222284a9eff8b83f9ed62dbe778484,Stefan,Theodore,Patrikis,
2f2eb94c5e0e70559044f06541db9249,Stein,B.,Jacobsen,
7b4c090fbaa6602bfe63a92d7c3f7736,Stephanie,,Paulsell,
8fb5d3f50c2623d2e4a7b9146d004ee0,Stephanie,,Sandler,
05c8c5ba886d3b3205c4dedfccca25b5,Stephanie,,Shore,
6854cc321e7b5abd5ebe58337573b282,Stephanie,Lynn,Meredith,
98301e7556d17b324c177ae1acc5fa35,Stephen,,Blyth,
ce08c74aa4f863b701d97ed933c76256,Stephen,,Buratowski,
ee479778e183acc835de097457884530,Stephen,,Chong,
38e62e85577826f3973356e1e3a002a8,Stephen,,Greenblatt,
e0cf2139a401cec726e184843b5e70ee,Stephen,,Lassonde,
1840e07ae899156a958270855f01c12f,Stephen,,Marks,
b17423a1592e50ee9d1707f125fa14bd,Stephen,,Owen,
71740399998e654a517d06536d6cc792,Stephen,,Prina,
2b919e1cbb685e3b08fd1a540db4ef27,Stephen,,Soumerai,
d8b219dd3ccb270f67773b2798db2053,Stephen,A.,Marglin,
4668a1de762597aae41cbe52d65f3174,Stephen,A.,Mitchell,
a8ef0f7c3306cc1b15bb773ef064691b,Stephen,C.,Blacklow,
e21167e3f53a130029d29257aaa46df1,Stephen,C.,Harrison,
eaf85013fcd34b027638a1a32dd83502,Stephen,Daniel,Ansolabehere,
c52476beecb36712d85097fc658f5ff9,Stephen,Louis,Burt,
2146f0954ac6fda5fe7f959e2be84fbf,Stephen,N,Morris,
9529b58d3ee0273cfc881311a5085433,Stephen,P.,Rosen,
dda95ec995dcecdae2351741e1250182,Stephen,Paul,Shoemaker,
c2e4d7af03e9446b9e76782dd082aefb,Stephen,Y.,Chan,
be7849d3617ae4605b3a67dc96a4491e,Steven,,Caton,
0050b6bae93e5b87c383127e35db01f7,Steven,,Clancy,
1127b1ba1d72490825c0f39a5a430aed,Steven,,Pinker,
d01a9a4a9ed73a101df9acdf5022898f,Steven,,Shapin,
1d2c54b09cb23412133e2147e246c498,Steven,C.,Wofsy,
6a335ab3ed38e10d387baa0679142ac3,Steven,E.,Hyman,
0b085c67844cf81ad3a463c6a7512537,Steven,E.,Ozment,
95cf7751c5619c516533cfb58ce99319,Steven,E.,Shoelson,
e37b7e34e6c6adf9d7431b16ba61a9ac,Steven,J.,Gortler,
66ddee5a9e67a66c3fe6f53805bb3cf3,Steven,Peter,Rozenski,
cf85ec3e43533e52dc0e8e8a546a3c1e,Steven,R.,Finch,
3d27de2a8fd5e5ed62cf9958612d777e,Steven,R.,Levitsky,
9a34a951114d5b5a00ec9b89bd56783b,Steven,Robert,Cranmer,
027b69c3a5cdf1a7f2bcf3e6bb4875e0,Stirling,,Churchman,
aa7f05b3ea5892d11570772b0c4a332d,Stratos,,Idreos,
78267c8329ea6f15bc7df99d37369675,Stuart,Holland,Orkin,
9e6aac3b53a1abd8d747ee1f3c733471,Stuart,L.,Schreiber,
96aea20751bf9770f185c3ed5ffbe11e,Stuart,M.,Shieber,
3d7840b2c66c1db65769db1d46a11744,Subir,,Sachdev,
ce50926145e73238cf5575803e50604a,Sudha,,Biddinger,
874d83e57e01c38e9c521ca21188e286,Sue,,Goldie,
ffc7531b7a25885e95a9f2d7bdac7873,Sugata,,Bose,
953fb00bd99797c8c6cd07c6577a8282,Sujata,K,Bhatia,
69b7fff2fdb061e203e44d4ee4152bb0,Sujoy,,Mukhopadhyay,
6f9611dd1819a76374143e4f64b797e9,Sukhada,,Fadnavis,
f4a324e24b2753a1d8b06f5fc86bb3f5,Sumeeta,,Srinivasan,
5d7e723e81bc6d8c7109d6d257fc58fa,Sun,,Hur,
ae5110a17bc482ed0b35226e95c6ecb1,"Sun Joo",,Kim,
5795d1c760835805b753a1038b494a8c,Susan,,Athey,
03a201163c0204b1e6f8b73fd376e943,Susan,,Carey,
f6b70ed408bb48a25bb15926fc37614f,Susan,,Dymecki,
d0d95d44b56d32375f3b9d9ddf38ccc0,Susan,,Greenhalgh,
6818373fb70763d8bf0e77c8ad5d3970,Susan,,Kahn,
7319eb1808f711293d5b0b3b4d95da39,Susan,,Lipson,
6734be0a1ad0e146df11fe7c1cd25df4,Susan,,Mango,
4a7f4e09f6b588f5088b85b03849403e,Susan,Ann,Slaugenhaupt,
b7c908c9b223c29781fa11bdc50abb91,Susan,J.,Pharr,
cbfd09c9cdf00bbe19172d2120fbde80,Susan,Marie,Lanzoni,
703a20e0be193407c2f61754dfd48f41,Susan,R.,Suleiman,
b902d1e8f2962864337d464efee3b6a9,Susanna,,Siegel,
f60848b24cb19614ac49e658a57c92a3,Susanne,,Ebbinghaus,
d34894d3c6f5c43bff04ee8028b7694a,Suzannah,,Clark,
06a9222f00d2211d1cb5348e45374ba6,Suzanne,,Blier,
5f4f4123aea405390c3128b22db46bc3,Suzanne,,Gaudet,
31f04860bbad3ff54ed325d0a593b0f2,Suzanne,,Walker,
f75fd45a8a397a68a944e33157a26feb,Sven,,Beckert,
895b4c00348936263bc709cf04132356,Svetlana,,Boym,
c0198085a3a55c5234742f8f6c946f06,Sydney,S.,Cash,
e70f020198b6610cdb0e6db2a0c1d24c,Sylvaine,,Guyot,
ba0b21d2ef8cb3f6560e83c13bd132c4,Sylvie,,"Le Gall",
d72b755ccf2d61c511825b4343ea47ba,T.,Keith,Blackwell,
3bac5f219533652ba1cc8a0e5b206c5f,Tai,T.,Wu,
1103cddf3e68f8fd14b827c2e0b3f3d8,Takao,K,Hensch,
4b3944bfc3861cc04e97d32d8b946f98,Talal,Amine,Chatila,
464eb6d20baedf6a51c463dedfe17d5e,Tamar,,Abramov,
2c293d3e795d8616212c0f99753afdfc,Tamar,,Herzog,
2977793d661844298f860bb12763a525,Tamara,,Griggs,
2d5af6ea86f76f477d0d78299aae2273,Tamara,Jane,Brenner,
6bb6978730a3d2e36cac5481b0d259e7,Tanya,,Mayadas,
a4b14a95bbabc1b8e554c7fb68185bea,Tanya,,Smith,
c1aab310b015ac0c0e469217317e01d5,Tarun,,Khanna,
2de0e4affad4ebbf8ea1ce639eed2c89,Terah,L.,Maher,
85c7bd61b373969d123929119c884f01,Terence,D.,Capellini,
9f3edf7daf9d656f1384284ebfb2ccaf,Terry,,Aladjem,
e7a060e1d1ba5ede7e6ccae3e183906a,Terry,,Martin,
c92dad0d60991be0d63e86a01ae93ea2,Terry,Barton,Strom,
9ba48ca385ad9fca52867919db015eea,Terry,K.,Means,
6f6fe0ae0a1c2c8f02a3df0d9f9c025e,Tess,,O'Toole,
62b9f8bb02cc1342740662892fcede11,Theda,R,Skocpol,
